year,state,county,county_code,state_code,units_of_measure,Air.Quality.Index,AQI,pollutant,arithmetic_mean
1980,California,Riverside,65,6,Parts per billion,Moderate,61,NO2,62.9094425
1980,California,Riverside,65,6,Parts per million,Moderate,87,Ozone,0.088549125
1980,California,Riverside,65,6,Parts per billion,Moderate,51,SO2,3.7548486
1980,California,Sacramento,67,6,Parts per million,Moderate,51,CO,1.390547
1980,California,Sacramento,67,6,Parts per billion,Moderate,51,NO2,51.482933
1980,California,Sacramento,67,6,Parts per million,Moderate,70,Ozone,0.04767516666666666
1980,California,Sacramento,67,6,Parts per billion,Moderate,51,SO2,2.36562
1980,California,San Benito,69,6,Parts per billion,Good,51,NO2,26.296737
1980,California,San Benito,69,6,Parts per million,Good,70,Ozone,0.046651
1980,California,San Bernardino,71,6,Parts per million,Moderate,51,CO,1.6983856666666666
1980,California,San Bernardino,71,6,Parts per billion,Moderate,64,NO2,65.7304642
1980,California,San Bernardino,71,6,Parts per million,Moderate,85,Ozone,0.083988
1980,California,San Bernardino,71,6,Parts per billion,Moderate,51,SO2,3.5770441666666666
1980,California,San Diego,73,6,Parts per million,Moderate,51,CO,1.2442481666666667
1980,California,San Diego,73,6,Parts per billion,Moderate,53,NO2,54.679573
1980,California,San Diego,73,6,Parts per million,Moderate,78,Ozone,0.0672075
1980,California,San Diego,73,6,Parts per billion,Moderate,51,SO2,5.6814435
1980,California,San Francisco,75,6,Parts per million,Good,51,CO,1.878843
1980,California,San Francisco,75,6,Parts per billion,Good,51,NO2,43.317025
1980,California,San Francisco,75,6,Parts per million,Good,59,Ozone,0.018854
1980,California,San Francisco,75,6,Parts per billion,Good,51,SO2,1.2780495
1980,California,San Joaquin,77,6,Parts per million,Good,51,CO,0.5717493333333333
1980,California,San Joaquin,77,6,Parts per billion,Good,51,NO2,35.6814225
1980,California,San Joaquin,77,6,Parts per million,Good,73,Ozone,0.05504966666666666
1980,California,San Joaquin,77,6,Parts per billion,Good,51,SO2,2.008555
1980,California,San Luis Obispo,79,6,Parts per million,Good,51,CO,0.513672
1980,California,San Luis Obispo,79,6,Parts per billion,Good,51,NO2,26.979626000000003
1980,California,San Luis Obispo,79,6,Parts per million,Good,70,Ozone,0.0483365
1980,California,San Luis Obispo,79,6,Parts per billion,Good,51,SO2,2.135191333333333
1980,California,San Mateo,81,6,Parts per million,Good,51,CO,1.57241
1980,California,San Mateo,81,6,Parts per billion,Good,51,NO2,32.492308
1980,California,San Mateo,81,6,Parts per million,Good,65,Ozone,0.033072
1980,California,Santa Barbara,83,6,Parts per million,Good,51,CO,1.490045
1980,California,Santa Barbara,83,6,Parts per billion,Good,51,NO2,44.556407
1980,California,Santa Barbara,83,6,Parts per million,Good,70,Ozone,0.04576957142857143
1980,California,Santa Barbara,83,6,Parts per billion,Good,51,SO2,0.698843375
1980,California,Santa Clara,85,6,Parts per million,Good,51,CO,1.3829076666666666
1980,California,Santa Clara,85,6,Parts per billion,Good,51,NO2,40
1980,California,Santa Clara,85,6,Parts per million,Good,71,Ozone,0.04894366666666667
1980,California,Santa Cruz,87,6,Parts per billion,Good,51,NO2,26.715543
1980,California,Santa Cruz,87,6,Parts per million,Good,70,Ozone,0.0459785
1980,California,Shasta,89,6,Parts per million,Good,72,Ozone,0.051969
1980,California,Solano,95,6,Parts per million,Good,51,CO,0.6241905
1980,California,Solano,95,6,Parts per billion,Good,51,NO2,28.15352
1980,California,Solano,95,6,Parts per million,Good,67,Ozone,0.0396375
1980,California,Solano,95,6,Parts per billion,Good,51,SO2,0.6791546666666667
1980,California,Sonoma,97,6,Parts per million,Good,51,CO,1.461628
1980,California,Sonoma,97,6,Parts per billion,Good,51,NO2,35.513196
1980,California,Sonoma,97,6,Parts per million,Good,66,Ozone,0.0355015
1980,California,Stanislaus,99,6,Parts per million,Moderate,51,CO,1.114604
1980,California,Stanislaus,99,6,Parts per billion,Moderate,51,NO2,53.828571
1980,California,Stanislaus,99,6,Parts per million,Moderate,70,Ozone,0.046825
1980,California,Stanislaus,99,6,Parts per billion,Moderate,51,SO2,0.995349
1980,California,Sutter,101,6,Parts per million,Good,62,Ozone,0.027391
1980,California,Tulare,107,6,Parts per million,Good,51,CO,0.838301
1980,California,Tulare,107,6,Parts per billion,Good,51,NO2,47.321937
1980,California,Tulare,107,6,Parts per million,Good,78,Ozone,0.066316
1980,California,Tulare,107,6,Parts per billion,Good,51,SO2,1.289884
1980,California,Tuolumne,109,6,Parts per million,Good,51,CO,4.212107
1980,California,Ventura,111,6,Parts per million,Good,51,CO,0.570038
1980,California,Ventura,111,6,Parts per billion,Good,51,NO2,36.0664085
1980,California,Ventura,111,6,Parts per million,Good,77,Ozone,0.064791
1980,California,Ventura,111,6,Parts per billion,Good,51,SO2,1.626445
1980,California,Yolo,113,6,Parts per million,Good,51,CO,0.58329
1980,California,Yolo,113,6,Parts per million,Good,73,Ozone,0.054669
1981,California,Alameda,1,6,Parts per million,Good,51,CO,1.2045916666666667
1981,California,Alameda,1,6,Parts per billion,Good,51,NO2,41.6569375
1981,California,Alameda,1,6,Parts per million,Good,57,Ozone,0.01502
1981,California,Butte,7,6,Parts per million,Good,51,CO,0.7813375
1981,California,Butte,7,6,Parts per billion,Good,51,NO2,28.911075
1981,California,Butte,7,6,Parts per million,Good,59,Ozone,0.019425
1981,California,Butte,7,6,Parts per billion,Good,51,SO2,0.0094
1981,California,Colusa,11,6,Parts per million,Good,61,Ozone,0.02445
1981,California,Contra Costa,13,6,Parts per million,Good,51,CO,0.6675
