year,state,county,county_code,state_code,units_of_measure,AQI,pollutant,arithmetic_mean,Air Quality Index
1980,California,San Diego,73,6,Parts per billion,51,SO2,5.6814435,Moderate
1980,California,San Francisco,75,6,Parts per million,51,CO,1.878843,Moderate
1980,California,San Francisco,75,6,Parts per billion,51,NO2,43.317025,Moderate
1980,California,San Francisco,75,6,Parts per million,59,Ozone,0.018854,Moderate
1980,California,San Francisco,75,6,Parts per billion,51,SO2,1.2780495,Moderate
1980,California,San Joaquin,77,6,Parts per million,51,CO,0.5717493333333333,Moderate
1980,California,San Joaquin,77,6,Parts per billion,51,NO2,35.6814225,Moderate
1980,California,San Joaquin,77,6,Parts per million,73,Ozone,0.05504966666666666,Moderate
1980,California,San Joaquin,77,6,Parts per billion,51,SO2,2.008555,Moderate
1980,California,San Luis Obispo,79,6,Parts per million,51,CO,0.513672,Moderate
1980,California,San Luis Obispo,79,6,Parts per billion,51,NO2,26.979626000000003,Moderate
1980,California,San Luis Obispo,79,6,Parts per million,70,Ozone,0.0483365,Moderate
1980,California,San Luis Obispo,79,6,Parts per billion,51,SO2,2.135191333333333,Moderate
1980,California,San Mateo,81,6,Parts per million,51,CO,1.57241,Moderate
1980,California,San Mateo,81,6,Parts per billion,51,NO2,32.492308,Moderate
1980,California,San Mateo,81,6,Parts per million,65,Ozone,0.033072,Moderate
1980,California,Santa Barbara,83,6,Parts per million,51,CO,1.490045,Moderate
1980,California,Santa Barbara,83,6,Parts per billion,51,NO2,44.556407,Moderate
1980,California,Santa Barbara,83,6,Parts per million,70,Ozone,0.04576957142857143,Moderate
1980,California,Santa Barbara,83,6,Parts per billion,51,SO2,0.698843375,Moderate
1980,California,Santa Clara,85,6,Parts per million,51,CO,1.3829076666666666,Moderate
1980,California,Santa Clara,85,6,Parts per billion,51,NO2,40,Moderate
1980,California,Santa Clara,85,6,Parts per million,71,Ozone,0.04894366666666667,Moderate
1980,California,Santa Cruz,87,6,Parts per billion,51,NO2,26.715543,Moderate
1980,California,Santa Cruz,87,6,Parts per million,70,Ozone,0.0459785,Moderate
1980,California,Shasta,89,6,Parts per million,72,Ozone,0.051969,Moderate
1980,California,Solano,95,6,Parts per million,51,CO,0.6241905,Moderate
1980,California,Solano,95,6,Parts per billion,51,NO2,28.15352,Moderate
1980,California,Solano,95,6,Parts per million,67,Ozone,0.0396375,Moderate
1980,California,Solano,95,6,Parts per billion,51,SO2,0.6791546666666667,Moderate
1980,California,Sonoma,97,6,Parts per million,51,CO,1.461628,Moderate
1980,California,Sonoma,97,6,Parts per billion,51,NO2,35.513196,Moderate
1980,California,Sonoma,97,6,Parts per million,66,Ozone,0.0355015,Moderate
1980,California,Stanislaus,99,6,Parts per million,51,CO,1.114604,Moderate
1980,California,Stanislaus,99,6,Parts per billion,51,NO2,53.828571,Moderate
1980,California,Stanislaus,99,6,Parts per million,70,Ozone,0.046825,Moderate
1980,California,Stanislaus,99,6,Parts per billion,51,SO2,0.995349,Moderate
1980,California,Sutter,101,6,Parts per million,62,Ozone,0.027391,Moderate
1980,California,Tulare,107,6,Parts per million,51,CO,0.838301,Moderate
1980,California,Tulare,107,6,Parts per billion,51,NO2,47.321937,Moderate
1980,California,Tulare,107,6,Parts per million,78,Ozone,0.066316,Moderate
1980,California,Tulare,107,6,Parts per billion,51,SO2,1.289884,Moderate
1980,California,Tuolumne,109,6,Parts per million,51,CO,4.212107,Moderate
1980,California,Ventura,111,6,Parts per million,51,CO,0.570038,Moderate
1980,California,Ventura,111,6,Parts per billion,51,NO2,36.0664085,Moderate
1980,California,Ventura,111,6,Parts per million,77,Ozone,0.064791,Moderate
1980,California,Ventura,111,6,Parts per billion,51,SO2,1.626445,Moderate
1980,California,Yolo,113,6,Parts per million,51,CO,0.58329,Moderate
1980,California,Yolo,113,6,Parts per million,73,Ozone,0.054669,Moderate
1981,California,Alameda,1,6,Parts per million,51,CO,1.2045916666666667,Moderate
1981,California,Alameda,1,6,Parts per billion,51,NO2,41.6569375,Moderate
1981,California,Alameda,1,6,Parts per million,57,Ozone,0.01502,Moderate
1981,California,Butte,7,6,Parts per million,51,CO,0.7813375,Moderate
1981,California,Butte,7,6,Parts per billion,51,NO2,28.911075,Moderate
1981,California,Butte,7,6,Parts per million,59,Ozone,0.019425,Moderate
1981,California,Butte,7,6,Parts per billion,51,SO2,0.0094,Moderate
1981,California,Colusa,11,6,Parts per million,61,Ozone,0.02445,Moderate
1981,California,Contra Costa,13,6,Parts per million,51,CO,0.6675,Moderate
1981,California,Contra Costa,13,6,Parts per billion,51,NO2,33.03898,Moderate
1981,California,Contra Costa,13,6,Parts per million,59,Ozone,0.0187875,Moderate
1981,California,Contra Costa,13,6,Parts per billion,51,SO2,1.132959375,Moderate
1981,California,El Dorado,17,6,Parts per million,51,CO,2.032842857142857,Moderate
1981,California,El Dorado,17,6,Parts per billion,51,NO2,30.75245,Moderate
1981,California,El Dorado,17,6,Parts per million,65,Ozone,0.033975,Moderate
1981,California,Fresno,19,6,Parts per million,51,CO,1.121185,Moderate
1981,California,Fresno,19,6,Parts per billion,51,NO2,37.88120833333333,Moderate
1981,California,Fresno,19,6,Parts per million,63,Ozone,0.02841111111111111,Moderate
1981,California,Fresno,19,6,Parts per billion,51,SO2,2.498025,Moderate
1981,California,Glenn,21,6,Parts per million,60,Ozone,0.021275,Moderate
1981,California,Imperial,25,6,Parts per million,66,Ozone,0.036175,Moderate
1981,California,Inyo,27,6,Parts per million,63,Ozone,0.0294,Moderate
1981,California,Kern,29,6,Parts per million,51,CO,1.349075,Moderate
1981,California,Kern,29,6,Parts per billion,55,NO2,56.83175,Moderate
1981,California,Kern,29,6,Parts per million,62,Ozone,0.027175,Moderate
1981,California,Kern,29,6,Parts per billion,51,SO2,11.4696125,Moderate
1981,California,Kings,31,6,Parts per million,60,Ozone,0.02095,Moderate
1981,California,Lake,33,6,Parts per million,51,CO,0.52935,Moderate
1981,California,Lake,33,6,Parts per billion,51,NO2,13.35965,Moderate
1981,California,Lake,33,6,Parts per million,61,Ozone,0.02325,Moderate
1981,California,Los Angeles,37,6,Parts per million,51,CO,2.416025925925926,Moderate
1981,California,Los Angeles,37,6,Parts per billion,91,NO2,90.93784067796612,Moderate
1981,California,Los Angeles,37,6,Parts per million,63,Ozone,0.02870163934426229,Moderate
1981,California,Los Angeles,37,6,Parts per billion,51,SO2,6.153610638297873,Moderate
1981,California,Madera,39,6,Parts per million,68,Ozone,0.0424,Moderate
1981,California,Marin,41,6,Parts per million,51,CO,0.9732,Moderate
1981,California,Marin,41,6,Parts per billion,51,NO2,40.336025,Moderate
1981,California,Marin,41,6,Parts per million,55,Ozone,0.009875,Moderate
1981,California,Mendocino,45,6,Parts per million,57,Ozone,0.013525,Moderate
1981,California,Mono,51,6,Parts per million,51,CO,0.6624749999999999,Moderate
1981,California,Monterey,53,6,Parts per million,51,CO,1.0834,Moderate
1981,California,Monterey,53,6,Parts per billion,51,NO2,25.2366875,Moderate
1981,California,Monterey,53,6,Parts per million,61,Ozone,0.02275833333333333,Moderate
1981,California,Monterey,53,6,Parts per billion,51,SO2,0.202325,Moderate
1981,California,Napa,55,6,Parts per million,51,CO,1.02135,Moderate
1981,California,Napa,55,6,Parts per billion,51,NO2,31.240475,Moderate
1981,California,Napa,55,6,Parts per million,58,Ozone,0.015625,Moderate
1981,California,Orange,59,6,Parts per million,51,CO,1.4730466666666666,Moderate
1981,California,Orange,59,6,Parts per billion,75,NO2,75.923775,Moderate
1981,California,Orange,59,6,Parts per million,60,Ozone,0.02175909090909091,Moderate
1981,California,Orange,59,6,Parts per billion,51,SO2,4.167835294117647,Moderate
1981,California,Placer,61,6,Parts per million,64,Ozone,0.0318125,Moderate
1981,California,Riverside,65,6,Parts per million,51,CO,1.37675,Moderate
1981,California,Riverside,65,6,Parts per billion,62,NO2,64.21450625,Moderate
1981,California,Riverside,65,6,Parts per million,66,Ozone,0.03639705882352941,Moderate
1981,California,Riverside,65,6,Parts per billion,51,SO2,1.7067,Moderate
1981,California,Sacramento,67,6,Parts per million,51,CO,0.888064705882353,Moderate
1981,California,Sacramento,67,6,Parts per billion,51,NO2,33.186305,Moderate
1981,California,Sacramento,67,6,Parts per million,60,Ozone,0.02248571428571428,Moderate
1981,California,Sacramento,67,6,Parts per billion,51,SO2,1.98945,Moderate
1981,California,San Benito,69,6,Parts per billion,51,NO2,22.0851,Moderate
1981,California,San Benito,69,6,Parts per million,62,Ozone,0.02692499999999999,Moderate
1981,California,San Bernardino,71,6,Parts per million,51,CO,1.109523529411765,Moderate
1981,California,San Bernardino,71,6,Parts per billion,64,NO2,65.61993913043479,Moderate
1981,California,San Bernardino,71,6,Parts per million,69,Ozone,0.04496382978723404,Moderate
1981,California,San Bernardino,71,6,Parts per billion,51,SO2,2.71673,Moderate
1981,California,San Diego,73,6,Parts per million,51,CO,1.1900259259259258,Moderate
1981,California,San Diego,73,6,Parts per billion,51,NO2,54.41943181818182,Moderate
1981,California,San Diego,73,6,Parts per million,65,Ozone,0.03545806451612903,Moderate
1981,California,San Diego,73,6,Parts per billion,51,SO2,3.908130434782609,Moderate
1981,California,San Francisco,75,6,Parts per million,51,CO,1.57605,Moderate
1981,California,San Francisco,75,6,Parts per billion,51,NO2,44.603625,Moderate
1981,California,San Francisco,75,6,Parts per million,56,Ozone,0.010725,Moderate
1981,California,San Francisco,75,6,Parts per billion,51,SO2,4.2085,Moderate
1981,California,San Joaquin,77,6,Parts per million,51,CO,0.6005714285714285,Moderate
1981,California,San Joaquin,77,6,Parts per billion,51,NO2,41.250225,Moderate
1981,California,San Joaquin,77,6,Parts per million,60,Ozone,0.02194285714285714,Moderate
1981,California,San Joaquin,77,6,Parts per billion,51,SO2,1.3603,Moderate
1981,California,San Luis Obispo,79,6,Parts per million,51,CO,0.6268,Moderate
1981,California,San Luis Obispo,79,6,Parts per billion,51,NO2,22.561491666666665,Moderate
1981,California,San Luis Obispo,79,6,Parts per million,60,Ozone,0.02203571428571428,Moderate
1981,California,San Luis Obispo,79,6,Parts per billion,51,SO2,1.761016666666667,Moderate
1981,California,San Mateo,81,6,Parts per million,51,CO,1.3257249999999998,Moderate
1981,California,San Mateo,81,6,Parts per billion,51,NO2,24.764725,Moderate
1981,California,San Mateo,81,6,Parts per million,58,Ozone,0.016025,Moderate
1981,California,Santa Barbara,83,6,Parts per million,51,CO,1.3254,Moderate
1981,California,Santa Barbara,83,6,Parts per billion,51,NO2,32.85625454545455,Moderate
1981,California,Santa Barbara,83,6,Parts per million,61,Ozone,0.025425,Moderate
1981,California,Santa Barbara,83,6,Parts per billion,51,SO2,0.7827333333333333,Moderate
1981,California,Santa Clara,85,6,Parts per million,51,CO,1.47815,Moderate
1981,California,Santa Clara,85,6,Parts per million,59,Ozone,0.01881,Moderate
1981,California,Santa Cruz,87,6,Parts per billion,51,NO2,27.9104,Moderate
1981,California,Santa Cruz,87,6,Parts per million,60,Ozone,0.0223875,Moderate
1981,California,Shasta,89,6,Parts per million,64,Ozone,0.031725,Moderate
1981,California,Siskiyou,93,6,Parts per million,61,Ozone,0.02386666666666666,Moderate
1981,California,Solano,95,6,Parts per million,51,CO,1.126,Moderate
1981,California,Solano,95,6,Parts per billion,51,NO2,33.022225,Moderate
1981,California,Solano,95,6,Parts per million,59,Ozone,0.0181,Moderate
1981,California,Solano,95,6,Parts per billion,51,SO2,0.3671625,Moderate
1981,California,Sonoma,97,6,Parts per million,51,CO,1.12194,Moderate
1981,California,Sonoma,97,6,Parts per billion,51,NO2,31.33576,Moderate
1981,California,Sonoma,97,6,Parts per million,60,Ozone,0.02141111111111111,Moderate
1981,California,Stanislaus,99,6,Parts per million,51,CO,1.0577333333333334,Moderate
1981,California,Stanislaus,99,6,Parts per billion,51,NO2,45.692433333333334,Moderate
1981,California,Stanislaus,99,6,Parts per million,60,Ozone,0.02246666666666666,Moderate
1981,California,Stanislaus,99,6,Parts per billion,51,SO2,0.692325,Moderate
1981,California,Sutter,101,6,Parts per million,58,Ozone,0.0174,Moderate
1981,California,Tulare,107,6,Parts per million,51,CO,0.711525,Moderate
1981,California,Tulare,107,6,Parts per billion,51,NO2,42.9068,Moderate
1981,California,Tulare,107,6,Parts per million,63,Ozone,0.02895,Moderate
1981,California,Tulare,107,6,Parts per billion,51,SO2,0.79165,Moderate
1981,California,Tuolumne,109,6,Parts per million,51,CO,4.413825,Moderate
1981,California,Ventura,111,6,Parts per billion,51,NO2,50.61906666666667,Moderate
1981,California,Ventura,111,6,Parts per million,64,Ozone,0.03076470588235294,Moderate
1981,California,Yolo,113,6,Parts per million,51,CO,0.623875,Moderate
1981,California,Yolo,113,6,Parts per million,62,Ozone,0.02555,Moderate
1982,California,Alameda,1,6,Parts per million,51,CO,0.9824,Moderate
1982,California,Alameda,1,6,Parts per billion,51,NO2,37.4583,Moderate
1982,California,Alameda,1,6,Parts per million,58,Ozone,0.01575882352941176,Moderate
1982,California,Butte,7,6,Parts per million,51,CO,0.9136375,Moderate
1982,California,Butte,7,6,Parts per billion,51,NO2,32.07485,Moderate
1982,California,Butte,7,6,Parts per million,60,Ozone,0.020675,Moderate
1982,California,Colusa,11,6,Parts per million,61,Ozone,0.02513333333333333,Moderate
1982,California,Contra Costa,13,6,Parts per million,51,CO,0.78679375,Moderate
1982,California,Contra Costa,13,6,Parts per billion,51,NO2,33.962015,Moderate
1982,California,Contra Costa,13,6,Parts per million,59,Ozone,0.01991875,Moderate
1982,California,Contra Costa,13,6,Parts per billion,51,SO2,0.488471875,Moderate
1982,California,El Dorado,17,6,Parts per million,51,CO,2.274966666666667,Moderate
1982,California,El Dorado,17,6,Parts per billion,51,NO2,30.550533333333338,Moderate
1982,California,El Dorado,17,6,Parts per million,65,Ozone,0.03285,Moderate
1982,California,Fresno,19,6,Parts per million,51,CO,1.099445,Moderate
1982,California,Fresno,19,6,Parts per billion,51,NO2,37.95316363636364,Moderate
1982,California,Fresno,19,6,Parts per million,64,Ozone,0.03073214285714285,Moderate
1982,California,Fresno,19,6,Parts per billion,51,SO2,3.573,Moderate
1982,California,Glenn,21,6,Parts per million,61,Ozone,0.0249,Moderate
1982,California,Imperial,25,6,Parts per million,63,Ozone,0.027975,Moderate
1982,California,Kern,29,6,Parts per million,51,CO,1.043075,Moderate
1982,California,Kern,29,6,Parts per billion,51,NO2,50.88095,Moderate
1982,California,Kern,29,6,Parts per million,62,Ozone,0.0266,Moderate
1982,California,Kern,29,6,Parts per billion,51,SO2,8.7870875,Moderate
1982,California,Kings,31,6,Parts per million,64,Ozone,0.030675,Moderate
